Province/Territory,Age Group 15-24 -Total,Age Group 25 Over,2020 End Unemployment Rate(15-24),2021 End Unemployment Rate(15-24),2020 End Unemployment Rate(25 Over),2021 End Unemployment Rate(25 Over),,,,
NL,33003,9664,12.7,19.5,11.4,11.3,,,,
PE,4986,1620,18.8,18,9.1,6.3,,,,
NS,47811,19965,14.6,10.2,7.5,8,,,,
NB,28663,10993,21.1,12.5,6.8,7.4,,,,
QC,363558,188661,14.8,8.4,6.5,4.4,,,,
ON,1050526,359474,22.1,10.4,7.7,6.4,,,,
MB,47545,25717,13.6,8.9,5.9,5,,,,
SK,50115,27795,15.2,9.6,5,4.9,,,,
AB,217477,98777,22.7,12.8,8.7,6.6,,,,
BC,250383,90944,15.6,11.3,7.2,4.1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Province/Territory,Age Group 25-34 -Total,Age Group 35+ - Total,,,,,,,,
Newfoundland and Labrador,6748,2916,,,,,,,,
Prince Edward Island,1094,526,,,,,,,,
Nova Scotia,14437,5528,,,,,,,,
New Brunswick,7401,3592,,,,,,,,
Quebec,106855,81806,,,,,,,,
Ontario,244098,115376,,,,,,,,
Manitoba,17497,8220,,,,,,,,
Saskatchewan,19501,8294,,,,,,,,
Alberta,66197,32580,,,,,,,,
British Columbia,66056,24888,,,,,,,,
Yukon,346,233,,,,,,,,
Northwest Territories,662,369,,,,,,,,
Nunavut,478,273,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
